Month_Period,Month_Name,Month_Num,Spend,Revenue,Conversions,Impressions,Clicks,Total_Tickets,ROAS,CPA,CTR,Cost_Per_Ticket,Revenue_MoM_Growth,Spend_MoM_Growth,ROAS_MoM_Change,Tickets_MoM_Growth,Efficiency_Score,Revenue_per_Dollar,Conversion_Efficiency,Performance_vs_Avg,Optimization_Flag
2024-01,January,1,3546886.41,11374300.0,62495,288024799,4708887,62495.0,3.2068407851831937,56.75472293783503,1.6348894318645109,56.75472293783503,,,,,5.650350524476584,3.2068407851831937,17.61967900178681,17.199081609585498,Scale Up
2024-02,February,2,2855061.38,8628700.0,43976,225860506,3664778,43976.0,3.022246758141501,64.92317127524103,1.622584693934937,64.92317127524103,-24.13862831119278,-19.505136337309438,-0.1845940270416926,-29.63277062164973,4.655112648962758,3.022246758141501,15.402821217104622,10.452800179007538,Scale Up
2024-03,March,3,2708004.1,6186000.0,30227,233566856,3856740,30227.0,2.284339229767045,89.58891388493731,1.6512359955729337,89.58891388493731,-28.3090152630176,-5.150757214193402,-0.7379075283744561,-31.264780789521563,2.5498012317694965,2.284339229767045,11.162095360195355,-16.515200551763076,Review
2024-04,April,4,3502291.08,9060800.0,48048,279676552,4802393,48048.0,2.5871064948719225,72.891505994006,1.7171239296457004,72.891505994006,46.472680245716134,29.331084838460917,0.3027672651048774,58.95722367419856,3.5492564731543137,2.5871064948719225,13.719019608158897,-5.450090747844172,Maintain
2024-05,May,5,2823682.71,9597400.0,52643,243137758,3874324,52643.0,3.398894630055655,53.63833197196208,1.5934686705468426,53.63833197196208,5.922214374006707,-19.376127069369687,0.8117881351837326,9.563353313353318,6.336689649171662,3.398894630055655,18.643383625775716,24.217993911886282,Scale Up
2024-06,June,6,2658261.15,6356400.0,31497,228353376,3774490,31497.0,2.39118718640567,84.39728069339937,1.65291622401939,84.39728069339937,-33.76956258986809,-5.858362181209797,-1.007707443649985,-40.168683395703134,2.8332514587672994,2.39118718640567,11.848722989462491,-12.610272546679003,Review
2024-07,July,7,3446932.46,8061900.0,43982,286830477,4881235,43982.0,2.3388621893682244,78.37143513255423,1.7017839425759487,78.37143513255423,26.831225221823686,29.66869188153316,-0.05232499703744553,39.63869574880148,2.9843299225187967,2.3388621893682244,12.759751028019853,-14.522572535611122,Review
2024-08,August,8,2719894.6,7288200.0,38440,225387142,3788250,38440.0,2.6795891281963646,70.75688345473465,1.6807746734727218,70.75688345473465,-9.596993264615039,-21.092315223374,0.3407269388281402,-12.60060934018462,3.787036677372287,2.6795891281963646,14.132900591074375,-2.0701662624938666,Maintain
2024-09,September,9,3518735.68,7875400.0,40692,292490235,4770755,40692.0,2.238133442293682,86.47241914872703,1.63108180346602,86.47241914872703,8.056859032408559,29.370295451889938,-0.4414556859026826,5.858480749219552,2.588262782892931,2.238133442293682,11.564380988116731,-18.20386432389246,Review
2024-10,October,10,2781989.65,6355100.0,33418,227596747,3945130,33418.0,2.284372265727157,83.24823897300855,1.7333859345538012,83.24823897300855,-19.304416283617343,-20.937805422202104,0.04623882343347496,-17.875749533077755,2.7440487557554407,2.284372265727157,12.012266113211457,-16.51399320021537,Review
2024-11,November,11,2709246.44,8639500.0,47544,228942489,3894519,47544.0,3.1888941044433006,56.9839819956251,1.7010905302073485,56.9839819956251,35.94593318751868,-2.614790820663193,0.9045218387161436,42.27063259321324,5.596123669785178,3.1888941044433006,17.548791168661644,16.54319170373981,Scale Up
2024-12,December,12,2776621.18,8925000.0,49790,242257290,3938883,49790.0,3.2143383707820017,55.76664350271139,1.6259089664546318,55.76664350271139,3.304589385959833,2.486844275414102,0.025444266338701116,4.724045095069829,5.763908617928062,3.2143383707820017,17.931866384452196,17.47309276428002,Scale Up
